Date,Title,Authors,Journal,DOI,Description
2025-08-21,Divergent viral phosphodiesterases for immune signaling evasion,"Doherty EE*, Nomburg J*, Adler BA, Lopez S, Hsieh K, Price N, Blount N, Doudna JA",bioRxiv,10.1101/2025.08.21.671373,Investigation of viral phosphodiesterases and their role in evading host immune signaling pathways.
2024-12-01,Animal and bacterial viruses share conserved mechanisms of immune evasion,"Hobbs SJ, Nomburg J, Doudna JA, Kranzusch PJ",Cell,10.1016/j.cell.2024.07.057,Discovery of conserved immune evasion mechanisms across animal and bacterial viruses.
2024-11-01,Birth of protein folds and functions in the virome,"Nomburg J, Doherty EE, Price N, Bellieny-Rabelo D, Zhu YK, Doudna JA",Nature,10.1038/s41586-024-07809-y,Investigation of protein fold evolution and functional diversification in viral genomes.
2025-03-01,CRISPRi-ART enables functional genomics of diverse bacteriophages using RNA-binding dCas13d,"Adler BA, Al-Shimary MJ, Patel JR, Armbruster EG, Colognori D, Charles EJ, Miller KV, Lahiri A, Cui ML, Oromí-Bosch A, Voelker A, Trinidad M, Lee J, Beurnier S, Boger R, Nomburg J, Barrangou R, Mutalik VK, Schoeniger JS, Pogliano JA, Savage DF, Doudna JA, Cress BF",Nature Microbiology,10.1038/s41564-025-01935-7,Functional genomics platform for bacteriophage research using innovative CRISPRi methodology.
2022-12-01,An international report on bacterial communities in esophageal squamous cell carcinoma,"Nomburg J, Bullman S, Nasrollahzadeh D, Collisson EA, Abedi‐Ardekani B, Akoko LO, Atkins JR, Buckle GC, Gopal S, Hu N, Kaimila B, Khoshnia M, Malekzadeh R, Menya D, Mmbaga BT, Moody S, Mulima G, Mushi BP, Mwaiselage J, Mwanga A, Newton Y, Ng DL, Radenbaugh A, Rwakatema DS, Selekwa M, Schüz J, Taylor PR, Vaske C, Goldstein A, Stratton MR, McCormack V, Brennan P, DeCaprio JA, Meyerson M, Mmbaga EJ, Van Loon K",International Journal of Cancer,10.1002/ijc.34212,International study examining bacterial microbiome associations with esophageal squamous cell carcinoma.
2022-07-01,Reversal of viral and epigenetic HLA class I repression in Merkel cell carcinoma,"Lee PC, Klaeger S, Le PM, Korthauer K, Cheng J, Ananthapadmanabhan V, Frost TC, Stevens JD, Wong AY, Iorgulescu JB, Tarren AY, Chea VA, Carulli IP, Lemvigh CK, Pedersen CB, Gartin AK, Sarkizova S, Wright KT, Li LW, Nomburg J, Li S, Huang T, Liu X, Pomerance L, Doherty LM, Apffel AM, Wallace LJ, Rachimi S, Felt KD, Wolff JO, Witten E, Zhang W, Neuberg D, Lane WJ, Zhang G, Olsen LR, Thakuria M, Rodig SJ, Clauser KR, Starrett GJ, Doench JG, Buhrlage SJ, Carr SA, DeCaprio JA, Wu CJ, Keskin DB",Journal of Clinical Investigation,10.1172/JCI151666,Research on HLA class I expression restoration in Merkel cell carcinoma through viral and epigenetic mechanisms.
2022-04-01,Long-read sequencing reveals complex patterns of wraparound transcription in polyomaviruses,"Nomburg J, Zou W, Frost TC, Datta C, Vasudevan S, Starrett GJ, Imperiale MJ, Meyerson M, DeCaprio JA",PLoS Pathogens,10.1371/journal.ppat.1010401,Long-read sequencing analysis revealing complex transcriptional patterns in polyomavirus genomes.
2021-11-01,Metagenomic analysis to identify novel infectious agents in systemic anaplastic large cell lymphoma,"Mahale P, Nomburg J, Song JY, Steinberg M, Starrett G, Boland J, Lynch CF, Chadburn A, Rubinstein PG, Hernandez BY, Weisenburger DD, Bullman S, Engels EA",Infectious Agents and Cancer,10.1186/s13027-021-00404-0,Metagenomic investigation for novel infectious agents in systemic anaplastic large cell lymphoma.
2021-05-01,Characterization of plasmacytoid dendritic cells microbial sequences and identification of a candidate public T-cell clone in Kikuchi-Fujimoto disease,"Nelson ND, Meng W, Rosenfeld AM, Bullman S, Pedamallu CS, Nomburg JL, Wertheim GB, Paessler ME, Pinkus G, Hornick JL, Meyerson M, Luning Prak ET, Pillai V",Pediatric and Developmental Pathology,10.1177/1093526620987961,Comprehensive characterization of immune cell populations and microbial components in Kikuchi-Fujimoto disease.
2020-12-01,Pervasive generation of non-canonical subgenomic RNAs by SARS-CoV-2,"Nomburg J, Meyerson M, DeCaprio JA",Genome Medicine,10.1186/s13073-020-00802-w,Discovery of widespread non-canonical subgenomic RNA generation in SARS-CoV-2 infection.
